Item,Value,Pos0
Alor_Setar,WHITE_CONCRETE,Malaysia
Ang_Mo_Kio,38199,Singapore
Bali,WHITE_CONCRETE,Indonesia
Bang_Kapi_District,WHITE_CONCRETE,Thailand
Bang_Rak_District,WHITE_CONCRETE,Thailand
Bangkok,WHITE_CONCRETE,Thailand
Bukit_Batok,38199,Singapore
Bà_Rịa_-_Vũng_Tàu_Province,WHITE_CONCRETE,Vietnam
CHECK,WHITE_CONCRETE,tree
Calabarzon,WHITE_CONCRETE,Philippines
Cambodia,25553,Cambodia
Cebu_City,WHITE_CONCRETE,Philippines
Central,23283,Singapore
Central_Visayas,WHITE_CONCRETE,Philippines
Changi,67700,Singapore
Chiang_Mai_City_Municipality,WHITE_CONCRETE,Thailand
Chiang_Rai_City_Municipality,WHITE_CONCRETE,Thailand
Choa_Chu_Kang,38199,Singapore
Civic_District,WHITE_CONCRETE,Singapore
Clementi,38199,Singapore
Davao_City,WHITE_CONCRETE,Philippines
Davao_Region,WHITE_CONCRETE,Philippines
Downtown_Core,23283,Singapore
Eastern_Visayas,WHITE_CONCRETE,Philippines
George_Town,WHITE_CONCRETE,Malaysia
Geylang,23283,Singapore
Hat_Yai,WHITE_CONCRETE,Thailand
Ho_Chi_Minh_City,WHITE_CONCRETE,Vietnam
Hougang,38199,Singapore
Hà_Nội,WHITE_CONCRETE,Vietnam
Hội_An,WHITE_CONCRETE,Vietnam
Ilocos_Region,WHITE_CONCRETE,Philippines
Indonesia,38065,Indonesia
Ipoh,WHITE_CONCRETE,Malaysia
Iskandar_Puteri,WHITE_CONCRETE,Malaysia
Johor,WHITE_CONCRETE,Malaysia
Johor_Bahru,WHITE_CONCRETE,Malaysia
Jurong_East,38199,Singapore
Jurong_West,38199,Singapore
Kedah,WHITE_CONCRETE,Malaysia
Khlong_San_District,WHITE_CONCRETE,Thailand
Khlong_Toei_District,WHITE_CONCRETE,Thailand
Klang_City,WHITE_CONCRETE,Malaysia
Kon_Tum_Province,WHITE_CONCRETE,Vietnam
Kuala_Lumpur,WHITE_CONCRETE,Malaysia
Kuching,WHITE_CONCRETE,Malaysia
Laos,5592,Laos
Luang_Prabang,WHITE_CONCRETE,Laos
MANUAL,WHITE_CONCRETE,tree
Makati,WHITE_CONCRETE,Philippines
Malaysia,26172,Malaysia
Mandalay,WHITE_CONCRETE,Myanmar
Mandaluyong,WHITE_CONCRETE,Philippines
Manila,WHITE_CONCRETE,Philippines
Metro_Manila,WHITE_CONCRETE,Philippines
Miri,WHITE_CONCRETE,Malaysia
Mu_1,WHITE_CONCRETE,Thailand
Mu_3,WHITE_CONCRETE,Thailand
Myanmar,26163,Myanmar
Nong_Chok_District,WHITE_CONCRETE,Thailand
Northeast,2046,Singapore
Northwest,2046,Singapore
Outram,23283,Singapore
Pak_Kret_City_Municipality,WHITE_CONCRETE,Thailand
Pasay,WHITE_CONCRETE,Philippines
Pasir_Ris,38199,Singapore
Penang,WHITE_CONCRETE,Malaysia
Perak,WHITE_CONCRETE,Malaysia
Philippines,27579,Philippines
Phnom_Penh,WHITE_CONCRETE,Cambodia
Phra_Nakhon_District,WHITE_CONCRETE,Thailand
Phra_Nakhon_Si_Ayutthaya_City_Municipality,WHITE_CONCRETE,Thailand
Pom_Prap_Sattru_Phai_District,WHITE_CONCRETE,Thailand
Punggol,38199,Singapore
Putrajaya,WHITE_CONCRETE,Malaysia
Queenstown,38199,Singapore
Quảng_Nam_Province,WHITE_CONCRETE,Vietnam
Riverside,38199,Singapore
Samphanthawong_District,WHITE_CONCRETE,Thailand
Sarawak,WHITE_CONCRETE,Malaysia
Sathon_District,WHITE_CONCRETE,Thailand
Selangor,WHITE_CONCRETE,Malaysia
Seletar,67700,Singapore
Sengkang,38199,Singapore
Sepang,WHITE_CONCRETE,Malaysia
Shah_Alam,WHITE_CONCRETE,Malaysia
Singapore,891,Singapore
Southeast,2046,Singapore
Southwest,2046,Singapore
Suan_Luang_District,WHITE_CONCRETE,Thailand
THIS,WHITE_CONCRETE,tree
Tacloban,WHITE_CONCRETE,Philippines
Taling_Chan_District,WHITE_CONCRETE,Thailand
Tampines,38199,Singapore
Telok_Blangah,38199,Singapore
Thailand,38122,Thailand
Ungasan,WHITE_CONCRETE,Indonesia
Vietnam,26662,Vietnam
Vigan,WHITE_CONCRETE,Philippines
Vũng_Tàu,WHITE_CONCRETE,Vietnam
Woodlands,38199,Singapore
Yishun,38199,Singapore
spawn,WHITE_CONCRETE,spawn
tree,WHITE_CONCRETE,tree
